x/m y/m t/s
1.7145 3.0741 0.02
1.7144 3.0724 0.04
1.7143 3.0696 0.06
1.7141 3.0657 0.08
1.7139 3.0607 0.1
1.7136 3.0545 0.12
1.7133 3.0473 0.14
1.7129 3.0389 0.16
1.7125 3.0294 0.18
1.712 3.0187 0.2
1.7115 3.007 0.22
1.7109 2.9941 0.24
1.7103 2.9801 0.26
1.7097 2.965 0.28
1.7089 2.9488 0.3
1.7082 2.9314 0.32
1.7073 2.913 0.34
1.7065 2.8934 0.36
1.7056 2.8727 0.38
1.7046 2.8509 0.4
1.7036 2.8279 0.42
1.7025 2.8039 0.44
1.7014 2.7787 0.46
1.7002 2.7524 0.48
1.699 2.725 0.5
1.6977 2.6965 0.52
1.6964 2.6668 0.54
1.695 2.6361 0.56
1.6936 2.6042 0.58
1.6922 2.5712 0.6
1.6907 2.537 0.62
1.6891 2.5018 0.64
1.6875 2.4654 0.66
1.6858 2.4279 0.68
1.6841 2.3893 0.7
1.6823 2.3496 0.72
1.6805 2.3088 0.74
1.6787 2.2668 0.76
1.6767 2.2237 0.78
1.6748 2.1795 0.8
1.6728 2.1342 0.82
1.6707 2.0878 0.84
1.6686 2.0402 0.86
1.6664 1.9916 0.88
1.6642 1.9418 0.9
1.662 1.8909 0.92
1.6596 1.8388 0.94
1.6573 1.7857 0.96
1.6549 1.7314 0.98
1.6524 1.676 1.0
1.6499 1.6201 1.02
1.6475 1.5642 1.04
1.645 1.5082 1.06
1.6425 1.4523 1.08
1.64 1.3963 1.1
1.6375 1.3404 1.12
1.635 1.2844 1.14
1.6325 1.2285 1.16
1.6301 1.1725 1.18
1.6276 1.1166 1.2
1.6251 1.0607 1.22
1.6226 1.0047 1.24
